c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,
1979,289,21,65,-395,862,82,246,230,603,3
2299,311,26,324,-308,566,163,213,198,390,3
2167,46,30,192,-400,242,214,161,63,732,3
2137,182,33,295,91,44,188,254,193,870,3
2252,247,28,16,189,467,142,243,101,664,3
2416,102,13,175,37,1029,101,222,153,711,3
2360,184,22,277,31,960,237,192,76,782,3
2084,291,30,30,11,2150,167,253,149,470,3
2258,298,23,419,92,307,223,226,210,732,3
2133,12,28,530,17,426,225,172,117,306,3
2110,334,19,216,106,575,173,215,176,541,3
2452,59,31,42,11,256,241,149,33,691,3
2029,291,38,394,94,312,37,197,240,890,3
1939,51,19,486,84,840,234,175,111,854,3
2210,150,24,470,56,390,214,183,93,1234,3
2389,83,22,575,27,992,244,195,70,1987,3
2338,103,25,339,17,990,252,220,59,750,3
2225,256,37,270,-183,1284,111,233,243,636,3
2333,273,27,90,43,845,139,236,164,631,3
2339,106,12,210,-283,741,193,205,73,525,3
2212,293,36,95,65,285,101,206,234,553,3
2330,324,19,72,118,700,162,213,121,2837,3
2135,15,32,363,-682,335,164,157,100,764,3
1958,6,26,208,73,350,234,165,131,1000,3
1962,217,24,430,35,1926,91,254,222,2349,3
2344,249,48,402,14,3088,119,243,232,752,3
2636,230,27,97,52,721,159,249,213,731,3
2103,262,24,60,21,1266,144,230,221,3687,3
1917,288,37,426,136,1302,106,222,246,658,3
2673,347,6,305,-348,1782,176,203,161,1212,3
2547,143,40,507,-23,638,149,165,160,384,3
2248,36,34,330,196,552,197,146,46,1308,3
2090,286,28,60,46,390,131,226,228,339,3
2098,26,29,95,-288,593,192,162,90,272,3
2068,179,19,438,-188,335,119,215,247,1708,3
2081,28,32,277,102,450,147,215,67,2519,3
2188,28,36,25,111,1555,173,137,83,982,3
2178,43,34,283,95,662,173,138,77,680,3
2156,289,21,456,42,2946,110,196,219,1254,3
2252,308,33,182,100,1660,114,199,196,624,3
2157,228,17,150,47,1087,137,253,194,10,3
2443,255,23,67,20,927,155,211,190,664,3
2295,34,33,455,216,875,188,135,143,693,3
2298,69,16,158,-310,2400,246,220,90,859,3
2127,341,19,95,-1019,673,157,215,167,1209,3
2187,322,29,590,144,541,161,164,212,942,3
2114,34,34,268,105,2510,123,147,66,446,3
2343,252,34,474,13,764,115,163,203,825,3
2151,351,37,210,87,705,185,188,158,446,3
2162,17,23,521,40,1298,166,153,82,769,3
2105,81,13,67,-583,390,151,177,66,722,3
2035,285,41,42,-1009,400,121,201,231,649,3
2195,277,40,228,265,511,121,212,226,553,3
2325,346,40,242,-142,531,98,210,239,547,3
2409,211,15,342,83,816,226,163,180,633,3
2141,33,13,65,132,457,200,204,80,540,3
2117,41,32,623,17,402,203,177,102,408,3
2249,6,43,319,165,815,175,175,127,573,3
2246,16,33,339,163,421,174,166,100,831,3
2237,194,34,361,-86,424,133,146,100,775,3
1990,241,18,210,124,1434,120,224,229,700,3
2340,309,17,192,-545,2173,159,162,207,2473,3
2575,359,23,175,35,616,178,190,143,671,3
2035,281,28,30,12,872,133,230,230,674,3
2178,291,29,190,88,516,46,208,236,589,3
2132,47,27,270,123,390,202,169,116,400,3
2083,309,22,30,232,1343,150,217,205,648,3
2141,293,28,124,-647,541,106,221,143,342,3
2175,337,31,242,-1139,560,200,163,173,459,3
2192,331,29,641,-1404,379,153,200,157,1717,3
2198,332,19,348,37,2257,156,184,155,577,3
1913,333,13,218,-275,2470,160,245,109,607,3
2090,37,28,108,28,451,207,126,177,1518,3
2141,143,43,175,132,379,246,223,86,395,3
2126,2,36,30,15,618,146,147,119,417,3
2498,332,36,85,-705,537,94,118,157,365,3
2224,61,29,627,147,495,183,210,52,624,3
2190,1,41,327,33,566,50,133,198,778,3
2262,142,41,518,-552,2110,139,126,105,805,3
2167,337,11,339,36,473,132,225,168,912,3
2290,240,34,134,-506,1024,254,179,32,850,3
2254,121,34,108,-296,964,254,191,35,368,3
2476,274,24,350,-760,210,249,220,224,778,3
2431,280,22,389,135,330,156,236,219,886,3
2510,40,32,40,152,524,211,166,135,607,3
2170,276,28,20,95,1473,36,233,216,752,3
2341,209,33,201,108,2396,116,229,241,765,3
2310,337,22,400,-385,1355,155,183,189,37,3
2136,120,28,30,-27,564,208,122,106,47,3
2119,10,15,108,-29,524,186,165,216,607,3
2476,19,15,124,-928,518,201,194,100,603,3
2193,265,36,452,-35,1553,110,175,244,677,3
2315,204,15,253,-120,914,233,252,171,1299,3
2087,145,35,127,-508,2568,243,210,64,1916,3
2075,157,31,108,66,335,229,234,19,2352,3
2240,83,34,466,-692,618,155,156,85,752,3
2252,307,16,443,110,811,173,229,195,997,3
1943,268,30,60,33,1409,123,211,222,730,3
2451,108,45,60,45,591,136,244,228,674,3
2374,251,29,108,82,633,121,235,188,1071,3
2502,322,10,150,60,1072,219,247,162,1073,3
2294,115,32,108,-824,1050,254,189,37,876,3
2167,131,34,108,65,361,250,198,44,783,3
2286,180,1,336,-251,1856,219,165,146,618,3
2148,357,25,60,18,2557,158,187,143,631,3
2510,2,17,401,-646,1073,193,170,146,426,3
2549,286,12,365,44,1358,148,239,193,942,3
2117,22,46,162,-206,570,186,161,141,541,3
2301,227,26,106,44,237,236,209,67,882,3
2166,352,26,169,-62,1203,146,181,111,537,3
2500,14,28,721,124,824,168,226,112,2486,3
2261,268,34,175,-100,1214,115,230,242,1237,3
2131,11,31,205,90,600,155,145,106,514,3
2091,5,30,241,16,607,116,190,124,552,3
2290,131,10,623,33,1080,252,195,60,3205,3
2367,216,23,276,7,228,132,247,221,3181,3
2177,1,23,257,-1229,1454,192,191,142,3086,3
2241,333,27,285,129,741,149,195,179,297,3
2307,358,29,365,-1162,2464,164,192,83,880,3
2304,359,31,360,98,757,158,124,133,837,3
2718,354,26,360,151,625,221,166,144,895,3
2449,347,25,60,31,1448,116,203,239,819,3
2086,279,33,120,75,1463,113,223,128,830,3
2006,267,29,391,225,1466,132,226,250,942,3
2026,212,29,175,97,720,128,209,240,285,3
2233,326,26,319,162,1322,106,201,133,370,3
2239,339,25,580,175,1525,177,202,183,1549,3
2538,148,21,163,3,630,166,233,109,793,3
2322,249,11,617,-68,828,176,196,162,750,3
2266,335,29,212,-1027,738,149,192,175,135,3
2287,347,17,301,178,1213,74,136,208,180,3
2639,179,15,330,181,1827,132,214,217,926,3
2508,36,27,192,275,1250,192,124,38,1214,3
2231,333,52,182,-249,934,115,182,179,1070,3
2482,331,21,240,135,808,100,194,210,283,3
2324,354,9,418,105,2850,197,216,156,503,3
2122,274,21,450,243,1473,159,240,134,1008,3
2152,273,26,14,-900,780,138,236,120,258,3
2323,319,28,306,-277,816,136,179,170,560,3
2283,8,37,380,122,1342,151,154,193,484,3
2323,296,15,301,205,932,185,219,173,1276,3
2405,259,11,391,216,402,208,247,175,2170,3
2317,1,9,390,98,720,221,223,153,351,3
2512,262,28,60,24,2066,181,200,59,2546,3
2297,259,29,12,185,1476,27,218,226,1006,3
2498,155,5,218,50,1900,226,240,149,620,3
2337,267,24,776,-900,1913,167,244,213,641,3
2263,310,15,300,-1324,1649,178,229,150,2427,3
2299,296,23,473,-393,1456,151,193,245,150,3
2087,68,16,360,-1204,760,212,223,140,108,3
2277,304,40,404,50,1757,83,185,201,938,3
2290,288,25,365,214,3082,150,221,220,2392,3
2336,18,32,247,175,832,178,157,135,488,3
2500,308,31,90,52,860,122,203,215,2699,3
2361,280,22,664,109,319,199,236,236,1775,3
2356,322,16,563,-1221,570,178,222,99,752,3
1979,336,31,277,164,984,136,180,174,111,3
2353,198,8,293,8,785,124,231,130,2758,3
2326,108,7,335,-788,782,250,231,128,134,3
2326,282,34,430,-1124,2138,144,232,224,1586,3
2166,265,27,477,44,2141,140,163,231,2851,3
2061,46,31,440,66,180,211,157,64,1775,3
2317,251,9,383,55,2236,198,247,184,1055,3
2177,316,13,60,24,3049,155,215,145,741,3
2275,313,17,350,51,899,91,225,192,3079,3
2405,18,33,334,117,1072,175,152,96,832,3
2270,11,33,442,195,812,167,156,109,301,3
2237,22,33,268,128,2099,181,158,90,313,3
2170,352,34,114,-500,824,200,204,156,404,3
2287,197,14,0,-559,1303,194,164,77,3253,3
1962,330,31,578,149,1188,133,195,221,660,3
2314,321,21,330,171,1068,162,161,190,480,3
2248,43,24,67,-609,2440,152,133,3,2874,3
2140,23,35,30,-817,932,176,177,83,335,3
2097,90,22,258,-243,866,173,225,79,389,3
2319,12,50,242,-1204,840,212,164,112,1457,3
2269,325,16,42,13,1598,151,204,118,525,3
2462,244,11,336,28,170,192,248,205,330,3
1935,192,29,112,67,2351,133,201,191,726,3
2302,148,16,379,166,2449,246,218,96,1746,3
2257,88,31,108,67,1173,242,154,73,1057,3
2270,53,25,596,42,2807,226,219,128,902,3
2306,224,31,210,75,68,178,243,226,484,3
2238,203,28,30,19,1052,75,216,219,633,3
2255,324,17,140,103,1168,122,186,194,743,3
2320,359,28,672,171,1231,136,182,204,1280,3
2297,320,30,332,-220,981,152,248,174,218,3
2304,206,11,485,80,959,195,227,171,1297,3
2237,330,36,369,80,1140,114,170,181,942,3
2174,121,32,120,49,1406,168,157,110,1107,3
2402,155,34,376,113,2481,155,195,178,859,3
2549,23,24,355,110,1298,137,182,111,726,3
2054,243,33,215,56,1210,137,243,143,458,3
2132,230,32,391,134,408,130,240,236,531,3
2317,116,11,362,55,95,200,229,50,2520,3
2310,103,4,414,48,108,245,218,73,190,3
2313,207,8,210,51,1390,215,247,133,424,3
2297,323,36,181,147,1224,93,179,196,755,3
2180,40,27,120,59,1191,211,183,121,2487,3
2192,7,29,150,17,1124,148,163,123,1110,3
2213,341,34,347,-157,1158,130,179,248,1582,3
2136,333,16,255,140,1187,125,176,179,3176,3
2249,323,33,305,147,1197,127,200,178,1136,3
2156,185,27,366,158,467,244,248,147,3052,3
2327,297,35,41,-551,1266,49,227,132,730,3
2315,346,4,212,91,1025,173,249,187,216,3
2223,255,30,190,-196,1078,123,159,149,1142,3
2299,325,20,497,224,1121,196,181,185,1159,3
2233,20,19,350,0,3223,161,195,97,939,3
2410,330,27,30,9,1896,158,213,221,1047,3
2712,30,22,457,24,176,207,241,13,153,3
2319,156,30,212,-84,960,152,239,99,162,3
2295,152,18,517,41,339,236,240,128,466,3
2457,27,14,4,192,1260,253,209,217,618,3
2295,329,25,458,-561,1676,152,202,184,1824,3
2054,57,28,21,17,228,223,155,41,834,3
2730,216,13,90,35,339,236,238,124,80,3
2082,45,5,219,98,1127,222,206,113,350,3
2219,88,20,527,98,1524,190,159,127,1063,3
2209,182,19,235,24,1020,144,193,154,1237,3
2306,342,37,406,197,789,156,172,212,1230,3
2455,153,29,0,-268,1130,169,194,175,1187,3
2259,228,8,30,5,1450,198,252,170,860,3
2285,275,28,277,44,1041,133,218,232,201,3
2072,249,29,289,74,433,162,184,218,607,3
2279,229,2,66,-1520,1073,107,253,176,376,3
2184,21,35,301,41,1207,174,145,86,1451,3
2225,332,23,432,111,990,160,201,134,1266,3
2374,10,31,65,21,997,127,163,89,1233,3
2370,189,14,162,-1286,1411,219,250,161,108,3
2362,117,15,212,50,3060,244,208,106,2006,3
2317,90,14,119,15,1052,233,227,127,217,3
2127,55,17,127,-172,2812,229,199,108,547,3
1962,49,27,90,48,1165,226,148,69,1333,3
2390,339,25,718,-242,1060,158,186,171,1283,3
2026,260,31,67,8,1216,106,174,204,553,3
2261,359,29,60,34,1977,164,174,121,571,3
2315,134,15,203,-1329,1735,241,233,118,182,3
2198,17,8,313,-775,942,197,190,149,342,3
2453,119,35,30,15,2747,141,103,86,997,3
2654,351,18,426,219,670,185,206,120,1318,3
2504,331,21,120,43,1120,119,220,138,120,3
2293,137,14,127,29,1684,243,201,93,30,3
2132,119,49,108,66,342,254,202,54,3608,3
2082,130,36,42,27,802,229,195,38,601,3
2210,329,19,386,11,1057,172,214,180,366,3
2077,8,18,60,19,1486,184,120,185,1167,3
2309,53,37,150,19,1116,119,152,56,1544,3
2215,23,25,30,-434,2975,186,169,46,601,3
2317,97,13,42,8,1140,241,170,106,180,3
2589,0,1,446,212,1423,190,240,152,711,3
2238,12,17,30,-827,2278,146,147,120,408,3
2223,340,32,228,79,1209,81,153,163,1106,3
2229,7,21,521,37,979,174,167,124,1544,3
2365,352,17,496,216,911,165,210,130,1351,3
2445,351,17,430,-743,1555,188,209,157,1362,3
2289,297,29,124,-490,1260,126,215,167,2038,3
2307,18,11,322,-464,1277,221,185,128,572,3
2370,335,12,120,204,1675,164,143,176,454,3
2126,180,28,30,15,1174,254,144,50,3332,3
2313,123,17,150,32,90,194,225,8,342,3
2307,101,15,127,26,108,242,233,117,335,3
2266,350,38,374,52,2455,156,149,241,417,3
2255,343,31,153,111,1167,114,149,130,1482,3
1870,46,37,40,-334,1735,203,165,36,1557,3
2358,337,12,829,233,762,126,224,168,1950,3
2182,7,15,0,0,1348,200,230,66,684,3
1998,343,27,60,35,2650,155,188,165,660,3
2277,291,25,90,42,1662,137,214,170,2842,3
2430,0,20,67,27,316,186,198,146,2569,3
2633,42,18,204,-5,1200,220,228,106,108,3
2233,69,29,30,-882,1230,233,191,23,511,3
2255,347,41,580,-504,3115,91,138,114,2611,3
2689,341,46,180,121,1183,85,174,154,1433,3
2248,303,30,178,-1522,1342,120,208,220,691,3
2261,16,46,42,-1063,1332,186,173,112,3050,3
1893,321,28,274,37,1300,155,171,232,408,3
2210,25,11,275,164,1248,215,216,165,216,3
2008,204,20,388,-266,677,236,219,113,134,3
2370,59,26,404,-730,2368,241,172,106,1235,3
2109,125,29,30,4,212,230,232,127,856,3
2285,5,19,108,-693,417,192,142,122,492,3
2262,38,21,165,11,553,215,188,91,618,3
2458,63,29,30,0,594,171,163,121,626,3
2603,337,35,217,142,2440,123,127,171,2135,3
2273,320,26,315,-986,1366,144,205,196,3172,3
2327,338,28,192,-296,1338,148,227,172,446,3
2336,332,21,591,46,1100,106,209,179,2566,3
2227,116,7,386,35,1277,222,223,226,234,3
2313,98,2,191,14,1269,222,219,151,192,3
2201,142,30,164,32,240,246,217,75,825,3
2290,8,19,127,-1094,484,195,199,109,553,3
2225,59,19,30,8,1013,231,196,120,1527,3
2118,318,32,115,12,834,161,216,194,508,3
2290,359,42,182,108,1358,123,139,120,1142,3
2324,2,30,308,-1075,1101,165,223,103,1398,3
2311,30,49,283,167,847,172,152,1,1449,3
1918,342,16,60,2,1341,228,220,179,3235,3
1954,30,25,247,-1264,1601,210,176,98,1333,3
2357,343,9,101,49,1332,202,227,139,3514,3
2221,139,23,42,15,2170,249,200,90,781,3
2354,240,32,541,164,1357,143,163,123,2357,3
2208,336,28,312,55,1383,147,139,91,872,3
2247,11,28,67,-614,1423,178,171,127,816,3
2353,341,18,216,44,1376,192,220,102,417,3
2270,1,24,224,27,795,178,184,141,547,3
2574,358,24,467,-1031,1991,83,187,144,439,3
2443,352,5,625,69,1350,211,236,158,1631,3
2084,52,15,108,63,1350,225,187,89,624,3
2343,332,39,300,199,1082,137,174,160,1925,3
2167,102,15,190,33,1355,223,220,100,324,3
2325,1,2,236,50,1543,204,219,152,564,3
2314,267,25,212,274,1008,134,213,202,108,3
2401,351,3,485,159,1552,198,215,158,663,3
2401,41,29,59,159,1571,221,172,101,752,3
2180,231,32,447,42,888,192,218,86,3513,3
2597,267,26,256,65,660,145,240,228,1589,3
2380,299,24,134,42,1383,147,222,141,825,3
2368,251,15,255,23,2752,162,201,225,526,3
2336,91,17,30,165,1388,240,220,108,295,3
2735,94,19,277,-74,1401,209,197,119,2517,3
2328,333,15,153,-1279,417,197,228,169,569,3
2373,208,17,201,159,553,122,209,157,649,3
2346,12,33,478,134,2587,194,194,112,364,3
2346,326,31,548,156,1805,135,158,190,242,3
2408,167,11,446,166,1556,208,218,146,143,3
2208,221,30,85,-820,674,140,182,206,1613,3
2271,273,29,379,74,132,114,188,234,1872,3
2306,258,20,124,195,1353,160,214,210,1911,3
2832,76,17,301,61,1377,230,201,98,671,3
2392,69,21,32,81,2379,211,228,104,323,3
2312,67,28,297,132,1471,158,143,66,170,3
2261,52,21,228,81,1510,225,191,98,120,3
2256,321,25,67,25,912,149,162,95,996,3
2208,301,10,73,-286,1452,193,179,183,984,3
2071,287,36,123,-1530,1360,140,175,216,2147,3
2393,349,13,323,211,2925,222,217,158,1786,3
2292,233,30,417,-545,1097,125,226,233,3201,3
2501,293,22,532,146,626,239,190,215,1620,3
2189,329,17,450,13,1413,122,218,92,1134,3
2225,321,34,285,37,1265,175,223,135,2405,3
2118,160,13,300,-1264,1347,105,223,85,684,3
2381,136,20,234,35,2284,230,225,128,3604,3
2411,83,25,277,100,769,91,205,133,371,3
2318,64,23,277,138,1500,233,176,45,1232,3
2109,89,14,162,-1114,1720,240,217,104,296,3
2476,335,8,108,-408,479,105,208,192,569,3
2045,321,23,150,140,1962,156,221,199,242,3
2325,155,38,425,103,997,145,212,203,153,3
