c1,c2,c3,c4,c5,
131,31,252,206,57,3
48,31,214,157,56,3
321,28,139,201,196,3
312,26,143,211,204,3
331,35,118,173,182,3
15,12,209,215,142,3
330,28,142,193,184,3
121,27,253,207,64,3
67,37,228,141,12,3
274,35,109,224,243,3
77,22,241,195,74,3
341,34,130,169,165,3
325,28,140,198,191,3
29,25,202,176,99,3
253,27,148,245,228,3
76,29,241,172,0,3
75,20,240,199,81,3
59,31,225,160,45,3
320,34,114,185,200,3
313,17,172,225,192,3
252,23,163,248,219,3
49,9,224,221,131,3
51,23,224,184,82,3
66,34,230,152,25,3
314,30,129,202,206,3
289,31,119,219,232,3
311,14,182,230,187,3
282,28,133,229,230,3
55,27,224,170,62,3
251,21,170,249,214,3
307,26,141,215,210,3
299,29,125,214,222,3
347,13,194,218,162,3
312,39,92,181,213,3
325,19,171,217,184,3
300,29,127,214,220,3
68,21,236,193,79,3
124,15,245,227,107,3
341,17,183,213,168,3
27,38,176,133,66,3
323,17,173,220,185,3
35,33,198,151,67,3
289,30,123,220,230,3
311,20,163,222,198,3
46,30,214,161,63,3
218,23,188,254,193,3
257,28,142,243,231,3
102,13,242,222,107,3
69,22,237,192,76,3
291,15,175,236,200,3
298,21,155,227,210,3
12,28,181,172,117,3
334,19,173,211,176,3
59,34,223,149,33,3
291,41,80,198,240,3
51,20,226,192,92,3
39,23,214,183,93,3
83,22,244,196,70,3
103,25,252,199,59,3
256,37,111,233,243,3
273,27,139,236,230,3
106,29,254,192,45,3
293,36,101,207,234,3
324,21,163,213,187,3
15,32,174,157,104,3
6,26,179,181,131,3
217,24,188,254,193,3
249,37,119,237,238,3
230,30,159,250,213,3
288,24,145,230,221,3
272,37,101,222,246,3
347,20,177,203,161,3
11,40,149,130,94,3
36,34,197,146,61,3
286,28,131,226,228,3
26,30,192,162,90,3
275,38,93,216,247,3
28,32,190,155,82,3
21,36,173,142,84,3
23,37,173,138,77,3
289,33,110,215,234,3
308,33,114,199,216,3
228,17,193,253,194,3
321,23,155,211,193,3
34,37,188,135,56,3
111,16,246,221,98,3
341,16,186,215,167,3
230,29,161,251,213,3
34,34,194,147,66,3
253,34,124,238,238,3
351,18,186,207,158,3
51,23,224,184,82,3
52,27,222,170,66,3
285,29,126,224,231,3
277,40,85,212,248,3
288,36,98,210,239,3
212,15,205,253,180,3
33,30,200,161,80,3
38,32,203,154,66,3
6,27,175,175,127,3
16,33,174,155,100,3
29,34,187,146,73,3
281,31,120,224,236,3
309,25,144,214,207,3
359,23,179,190,143,3
281,28,133,230,230,3
291,36,99,208,236,3
47,27,217,169,70,3
309,23,150,218,205,3
293,28,131,221,224,3
337,20,172,208,173,3
331,25,153,200,181,3
332,24,156,201,179,3
333,23,160,203,179,3
37,28,207,168,81,3
143,26,247,223,87,3
2,36,146,147,120,3
333,36,117,170,178,3
61,29,229,168,52,3
1,41,133,133,113,3
8,41,140,126,97,3
337,11,196,225,168,3
119,34,254,189,32,3
121,34,254,191,35,3
274,24,150,238,224,3
280,22,156,237,218,3
40,28,209,166,75,3
273,28,133,234,233,3
270,33,116,229,241,3
300,22,155,225,209,3
39,28,208,167,78,3
3,21,186,194,141,3
19,20,201,194,124,3
265,36,110,229,244,3
204,14,212,252,172,3
145,35,243,210,64,3
157,40,229,210,71,3
3,34,155,156,123,3
307,16,173,229,195,3
300,30,123,212,222,3
240,34,136,244,229,3
251,38,114,235,241,3
192,10,219,248,162,3
113,32,254,189,36,3
131,34,251,198,44,3
180,1,219,239,157,3
358,24,175,187,143,3
2,17,194,206,146,3
286,12,185,239,194,3
22,30,186,161,96,3
124,26,253,210,67,3
353,27,163,181,149,3
14,28,181,169,112,3
268,34,115,230,242,3
11,34,164,151,106,3
5,30,167,167,124,3
131,30,252,208,60,3
256,23,159,247,221,3
1,23,182,191,142,3
333,27,149,195,179,3
358,29,164,175,139,3
359,31,158,166,133,3
354,29,159,175,144,3
274,33,116,227,240,3
279,33,113,223,239,3
286,28,132,226,228,3
305,29,128,210,215,3
326,26,148,202,189,3
329,25,154,202,184,3
148,21,243,233,109,3
249,24,163,249,219,3
335,27,149,192,176,3
347,35,134,162,152,3
301,28,132,215,217,3
36,36,192,140,57,3
333,36,115,169,179,3
331,17,179,217,177,3
354,13,197,216,156,3
274,21,159,240,218,3
273,27,139,236,230,3
319,28,137,202,199,3
8,37,151,142,107,3
334,15,185,219,173,3
233,7,208,247,175,3
1,9,207,223,153,3
354,20,182,200,152,3
294,29,125,218,226,3
155,5,226,240,149,3
267,19,168,244,213,3
310,15,178,229,190,3
296,23,151,226,213,3
35,8,219,224,140,3
304,40,83,185,225,3
297,25,142,222,217,3
18,32,178,157,99,3
308,31,122,204,215,3
280,22,155,236,219,3
322,16,179,223,183,3
336,31,136,181,174,3
106,8,233,231,130,3
108,8,235,231,128,3
282,25,144,232,224,3
266,27,141,239,231,3
46,31,212,157,58,3
251,10,198,247,187,3
316,22,155,215,197,3
313,17,172,225,192,3
18,33,175,152,96,3
11,33,168,156,109,3
22,33,181,153,90,3
352,19,184,204,156,3
359,19,188,202,149,3
330,31,133,186,184,3
321,21,162,215,190,3
43,37,199,133,39,3
23,35,177,144,82,3
62,22,233,189,79,3
12,30,174,164,112,3
325,25,151,204,189,3
252,12,192,248,194,3
326,30,133,192,191,3
106,16,246,218,96,3
36,31,202,158,73,3
53,9,226,220,128,3
224,25,178,254,202,3
300,28,131,216,219,3
324,33,122,186,194,3
316,28,136,204,202,3
332,14,187,222,174,3
331,11,195,227,171,3
331,36,114,170,181,3
11,32,168,157,110,3
13,20,196,195,131,3
23,24,199,182,111,3
243,33,137,244,230,3
254,32,130,240,236,3
116,11,240,229,118,3
103,16,245,219,99,3
207,8,215,247,168,3
323,36,110,179,196,3
40,27,211,169,78,3
7,29,171,169,123,3
341,34,130,168,164,3
333,34,125,176,179,3
334,33,127,177,178,3
185,13,222,249,157,3
326,35,116,180,191,3
346,4,212,233,159,3
343,37,123,159,159,3
325,20,167,214,185,3
20,19,203,195,124,3
334,24,158,200,177,3
30,22,207,186,106,3
37,22,214,187,99,3
159,18,236,240,128,3
27,14,213,209,129,3
329,25,153,202,184,3
57,32,223,155,41,3
160,20,236,240,124,3
45,15,223,206,113,3
12,23,190,187,127,3
331,28,144,193,182,3
342,26,156,190,166,3
356,20,184,201,151,3
228,14,199,252,188,3
275,28,133,233,232,3
240,26,162,250,218,3
207,17,207,253,177,3
21,35,174,145,86,3
332,23,160,204,180,3
10,31,171,163,116,3
189,14,219,250,161,3
117,15,244,225,106,3
90,8,233,227,127,3
55,18,229,199,97,3
33,33,194,149,69,3
339,25,158,195,171,3
260,15,181,247,204,3
359,29,164,174,137,3
134,14,241,233,118,3
17,21,197,190,123,3
21,35,175,146,86,3
351,18,185,206,157,3
216,21,194,254,189,3
110,14,243,224,107,3
119,29,254,202,54,3
130,36,251,195,39,3
329,19,172,214,180,3
8,33,164,157,115,3
34,37,189,136,56,3
12,25,187,182,123,3
97,13,241,220,106,3
0,1,217,236,156,3
2,36,146,147,120,3
340,39,111,153,163,3
7,28,174,172,124,3
320,17,174,221,186,3
351,17,188,209,157,3
297,29,126,216,223,3
18,23,196,185,118,3
335,22,164,204,176,3
111,28,254,197,50,3
123,17,246,225,101,3
136,15,242,233,117,3
350,38,127,149,142,3
344,40,114,149,155,3
46,37,203,134,36,3
337,12,195,224,168,3
7,15,200,208,143,3
343,27,155,188,165,3
292,33,113,214,232,3
0,20,186,198,146,3
129,17,245,228,106,3
69,34,233,153,23,3
350,41,116,138,137,3
341,46,85,128,154,3
303,31,120,208,220,3
16,27,186,173,112,3
321,23,155,210,192,3
25,11,215,216,137,3
80,12,236,219,113,3
93,13,241,219,106,3
125,10,236,233,127,3
5,19,192,199,140,3
38,21,215,188,99,3
63,11,230,218,121,3
337,35,123,168,171,3
320,26,144,205,196,3
338,28,148,188,172,3
332,21,167,209,179,3
42,7,222,224,137,3
98,2,222,236,151,3
142,30,247,217,75,3
8,19,195,199,137,3
59,19,231,197,91,3
318,21,161,216,194,3
359,39,134,139,120,3
2,30,165,170,130,3
30,32,191,152,77,3
328,16,180,220,179,3
30,25,203,176,98,3
343,9,202,227,163,3
134,23,249,223,90,3
310,25,143,213,206,3
336,28,147,189,174,3
11,28,178,171,119,3
341,13,192,220,166,3
1,24,178,187,141,3
358,25,174,187,144,3
352,5,211,231,158,3
52,22,225,188,86,3
332,30,137,187,181,3
102,15,244,219,100,3
1,11,204,219,152,3
305,28,134,213,214,3
352,13,198,218,158,3
41,10,221,219,132,3
306,10,192,235,183,3
267,26,146,240,228,3
300,24,147,222,212,3
357,15,196,212,153,3
95,13,240,220,108,3
27,19,209,197,119,3
333,10,197,228,169,3
351,17,188,209,157,3
12,21,194,194,131,3
326,31,129,188,190,3
10,11,208,218,146,3
335,30,140,185,176,3
273,29,132,233,234,3
291,20,160,233,210,3
59,17,231,202,98,3
34,21,211,188,104,3
67,28,234,173,52,3
52,21,226,191,89,3
322,25,149,207,193,3
301,10,193,236,183,3
311,41,81,175,216,3
349,24,168,193,158,3
282,30,125,226,233,3
293,22,151,228,215,3
330,17,178,218,178,3
321,17,175,222,186,3
71,13,234,214,110,3
73,8,230,225,128,3
7,23,187,189,133,3
64,27,233,176,58,3
89,14,240,217,104,3
335,20,170,208,175,3
321,23,156,212,192,3
313,25,145,212,203,3
3,30,166,169,129,3
39,9,221,220,134,3
7,23,186,189,134,3
120,27,254,205,60,3
346,30,147,177,158,3
114,28,254,199,51,3
309,22,155,220,203,3
308,37,99,191,219,3
0,15,196,210,150,3
20,15,208,208,134,3
326,23,156,207,187,3
304,28,132,213,215,3
105,11,238,227,118,3
350,33,143,166,148,3
0,30,161,168,132,3
349,21,176,199,159,3
66,20,235,194,82,3
1,21,184,195,144,3
303,27,135,215,215,3
309,24,147,216,206,3
300,25,143,221,214,3
302,27,134,216,216,3
153,35,237,218,80,3
324,25,151,205,190,3
325,27,143,200,190,3
6,19,194,201,141,3
60,13,230,213,114,3
354,20,181,200,153,3
12,19,197,197,132,3
36,19,215,194,107,3
24,28,192,168,99,3
253,26,152,246,225,3
291,24,145,227,219,3
274,12,189,243,193,3
127,15,243,229,111,3
117,4,227,236,143,3
128,32,252,200,48,3
349,24,168,192,157,3
80,14,238,215,105,3
330,38,105,166,184,3
313,31,125,200,208,3
356,21,181,197,150,3
333,29,140,188,179,3
71,11,233,218,115,3
120,33,254,192,37,3
128,28,252,210,66,3
310,25,145,214,206,3
348,29,152,178,155,3
337,35,122,168,171,3
314,47,59,155,210,3
14,16,203,205,136,3
298,21,157,228,209,3
290,26,139,226,223,3
315,22,157,216,197,3
3,18,193,203,145,3
302,3,211,238,165,3
42,13,222,212,123,3
103,28,253,190,44,3
125,17,246,225,101,3
356,32,152,166,139,3
6,18,195,203,142,3
11,11,208,217,145,3
47,21,222,190,94,3
101,37,251,163,0,3
116,37,253,179,18,3
332,29,141,189,181,3
327,23,158,207,185,3
45,11,223,215,125,3
304,23,152,222,208,3
289,22,154,232,216,3
356,16,193,211,154,3
344,33,137,170,159,3
262,24,155,244,223,3
300,25,143,221,214,3
306,21,157,222,204,3
303,28,133,214,216,3
1,31,159,165,130,3
334,23,161,203,178,3
335,30,139,185,177,3
335,28,146,190,176,3
351,10,203,224,159,3
48,11,224,215,123,3
333,23,162,204,178,3
20,17,207,203,129,3
57,22,229,187,81,3
68,27,236,177,56,3
38,13,219,212,125,3
39,10,221,217,130,3
0,14,199,214,151,3
14,9,212,222,147,3
357,12,201,218,155,3
313,8,199,234,175,3
20,14,209,209,134,3
6,23,184,187,134,3
253,36,118,236,240,3
293,25,142,226,219,3
65,12,232,215,113,3
331,23,158,204,181,3
329,31,132,187,185,3
309,31,122,203,213,3
313,10,193,233,179,3
52,31,219,159,53,3
327,24,154,205,186,3
299,22,153,226,210,3
312,32,118,198,211,3
11,29,177,169,117,3
331,14,185,221,175,3
90,7,231,229,132,3
69,15,235,209,101,3
73,15,236,210,102,3
114,23,252,209,71,3
348,16,187,211,161,3
75,24,241,189,66,3
309,34,111,197,216,3
311,29,129,204,209,3
79,10,234,222,119,3
84,14,239,216,105,3
61,26,231,178,64,3
10,22,190,189,130,3
321,25,148,207,194,3
300,36,100,199,227,3
37,10,220,218,132,3
330,14,185,222,176,3
304,5,205,237,171,3
324,27,143,200,191,3
69,20,237,196,82,3
304,12,186,234,188,3
34,25,207,177,94,3
1,21,184,194,143,3
317,27,138,204,201,3
56,14,228,211,113,3
97,12,240,222,110,3
85,12,237,220,112,3
104,16,245,218,97,3
103,20,249,210,80,3
105,22,251,207,72,3
144,17,241,235,117,3
280,24,147,234,223,3
287,9,196,240,183,3
319,27,140,204,198,3
343,22,170,201,166,3
75,10,233,221,120,3
80,11,234,221,118,3
319,29,133,199,199,3
66,17,234,204,96,3
45,24,219,181,86,3
34,9,219,221,137,3
317,24,150,212,198,3
356,6,210,229,157,3
18,31,179,158,100,3
87,26,247,188,54,3
142,19,244,232,109,3
339,26,154,191,170,3
67,10,231,219,120,3
321,23,156,211,192,3
315,29,130,202,205,3
86,7,230,229,132,3
322,17,174,221,186,3
340,26,155,192,170,3
39,24,213,181,92,3
31,33,191,150,73,3
287,15,176,238,202,3
328,27,145,198,187,3
114,16,246,222,99,3
345,18,181,208,164,3
26,25,200,178,104,3
97,11,239,224,114,3
130,27,252,213,69,3
302,19,163,227,203,3
298,17,172,232,200,3
337,7,204,230,165,3
79,10,234,222,119,3
313,22,154,217,200,3
1,16,194,207,148,3
282,11,189,241,191,3
308,31,119,203,215,3
13,9,211,221,146,3
112,34,254,183,26,3
122,28,253,206,60,3
304,21,157,224,205,3
109,9,235,231,127,3
146,23,244,230,102,3
85,19,244,204,82,3
97,15,244,216,98,3
336,16,184,217,172,3
25,25,198,177,105,3
6,5,214,230,154,3
335,4,211,234,162,3
301,10,193,236,183,3
126,34,253,195,40,3
121,33,254,193,39,3
115,4,227,236,144,3
70,14,235,212,106,3
34,19,214,195,111,3
246,27,156,249,223,3
305,15,178,231,193,3
351,6,209,229,159,3
298,10,191,236,186,3
91,15,242,215,99,3
17,10,212,219,144,3
130,15,243,231,113,3
357,18,189,205,151,3
2,18,193,203,146,3
69,21,237,195,80,3
264,28,139,239,232,3
84,16,241,212,97,3
100,11,238,226,118,3
94,4,225,234,144,3
283,20,161,236,213,3
45,10,223,218,129,3
97,28,251,187,44,3
86,11,236,222,117,3
168,14,230,245,143,3
50,7,224,225,136,3
339,11,197,225,166,3
148,28,244,224,89,3
75,16,238,209,98,3
317,11,190,230,180,3
71,13,234,214,110,3
107,22,251,209,75,3
346,2,215,235,158,3
124,7,233,235,135,3
173,16,229,246,144,3
144,20,244,232,108,3
147,35,242,213,69,3
303,30,123,209,219,3
266,7,202,243,180,3
354,12,200,218,156,3
160,18,236,241,128,3
90,10,236,224,118,3
301,29,127,213,220,3
290,28,131,223,226,3
326,9,198,230,172,3
326,7,202,232,169,3
355,5,211,230,157,3
236,14,195,251,192,3
121,19,249,221,92,3
143,21,245,230,103,3
278,19,166,240,212,3
99,22,250,204,71,3
166,15,232,244,139,3
171,18,229,245,140,3
95,11,238,223,114,3
128,13,242,231,116,3
86,23,246,193,64,3
116,20,250,217,85,3
137,23,248,224,92,3
282,25,142,232,225,3
80,15,239,211,98,3
71,15,236,210,102,3
310,17,171,226,194,3
118,22,252,213,77,3
123,15,244,228,110,3
144,22,244,230,104,3
28,24,203,179,102,3
314,14,183,229,186,3
90,5,227,232,139,3
205,8,216,247,167,3
140,12,238,236,127,3
90,18,244,209,89,3
196,16,215,252,166,3
171,14,229,245,144,3
100,18,247,212,88,3
49,21,224,190,92,3
348,6,209,231,160,3
240,5,210,244,172,3
177,14,226,247,150,3
133,18,246,228,103,3
102,18,247,215,90,3
53,14,227,210,113,3
34,14,217,210,125,3
170,13,229,245,145,3
230,7,209,247,175,3
81,10,234,222,118,3
62,9,228,221,125,3
117,26,253,206,64,3
101,21,250,206,74,3
308,29,128,208,213,3
10,10,209,220,148,3
136,20,247,227,100,3
122,18,248,222,95,3
124,2,222,237,151,3
112,24,252,208,70,3
161,19,235,241,128,3
140,11,237,237,129,3
25,26,197,175,103,3
117,13,242,227,112,3
111,26,253,202,59,3
108,12,241,225,112,3
110,16,245,221,100,3
111,21,250,213,81,3
339,3,212,234,160,3
130,27,252,213,69,3
129,28,252,210,64,3
74,14,236,212,104,3
21,7,216,226,147,3
96,9,234,228,125,3
105,17,247,216,91,3
324,2,214,236,160,3
101,21,249,207,76,3
36,23,212,184,98,3
273,4,209,241,170,3
99,20,248,209,80,3
109,11,239,228,119,3
75,15,237,210,100,3
311,13,183,230,187,3
327,10,196,229,173,3
136,18,245,230,107,3
20,15,208,206,132,3
146,25,245,227,95,3
353,17,190,209,156,3
96,15,242,218,101,3
138,24,248,223,89,3
35,22,212,186,101,3
7,17,198,205,142,3
101,28,253,190,46,3
93,16,243,214,96,3
100,13,241,222,109,3
94,20,247,205,78,3
90,28,249,184,45,3
78,14,237,214,105,3
70,7,228,226,132,3
92,25,249,191,55,3
83,24,245,189,60,3
71,25,238,183,61,3
66,23,235,188,74,3
50,21,224,189,89,3
50,25,222,178,76,3
57,23,228,184,76,3
55,26,225,174,66,3
32,4,219,230,147,3
69,29,236,171,46,3
33,7,219,226,143,3
78,16,239,208,94,3
84,27,246,182,47,3
346,6,209,231,160,3
293,12,187,237,191,3
326,5,206,234,166,3
250,21,170,250,214,3
238,23,171,252,212,3
283,16,174,239,204,3
194,24,208,251,164,3
196,27,202,250,166,3
182,28,216,245,143,3
153,28,240,228,97,3
178,31,216,240,133,3
181,34,209,238,134,3
188,32,205,243,149,3
310,16,174,227,192,3
307,7,201,236,175,3
188,29,209,246,152,3
83,10,235,222,119,3
135,10,236,236,131,3
125,4,226,237,145,3
261,21,163,245,218,3
117,12,240,229,118,3
151,12,235,240,134,3
284,22,155,234,217,3
78,12,235,219,114,3
311,18,169,225,195,3
322,17,176,222,185,3
55,15,228,207,109,3
60,8,227,223,131,3
60,8,226,224,132,3
132,12,239,234,122,3
311,18,170,225,195,3
51,15,226,207,111,3
81,10,233,223,121,3
354,16,191,210,155,3
110,11,239,228,118,3
156,10,232,242,141,3
79,8,231,225,126,3
22,23,199,185,114,3
54,25,225,179,74,3
8,22,188,189,132,3
16,16,204,204,133,3
12,17,201,204,137,3
12,8,212,224,149,3
12,22,192,189,127,3
290,18,167,235,207,3
161,17,235,242,132,3
147,19,242,234,113,3
82,23,244,192,64,3
245,4,212,243,169,3
353,20,182,202,155,3
287,19,163,235,211,3
309,20,163,223,199,3
23,26,194,173,104,3
12,23,190,186,126,3
285,20,160,235,213,3
144,12,237,238,129,3
55,22,227,186,81,3
292,20,159,232,211,3
9,15,202,209,142,3
319,30,129,197,200,3
164,11,230,243,144,3
44,28,213,166,71,3
319,34,113,186,202,3
165,13,231,244,142,3
317,34,114,190,205,3
175,11,226,246,151,3
165,14,232,244,140,3
85,8,232,226,126,3
162,15,233,243,136,3
173,14,228,246,147,3
307,32,116,202,217,3
51,10,225,218,126,3
337,23,164,202,173,3
170,13,229,245,146,3
70,6,226,229,137,3
332,24,156,202,180,3
312,22,155,218,201,3
337,16,184,217,171,3
358,15,195,210,152,3
103,5,229,233,138,3
126,15,244,229,110,3
178,11,225,247,152,3
130,8,233,236,135,3
152,8,230,240,142,3
126,16,245,227,106,3
123,16,246,226,103,3
1,14,199,213,150,3
357,15,196,212,153,3
1,14,199,213,150,3
335,11,195,225,169,3
15,15,206,209,138,3
135,17,244,231,110,3
10,16,200,205,139,3
138,14,241,234,119,3
30,9,218,220,138,3
191,15,218,250,162,3
349,8,205,226,160,3
18,15,207,206,133,3
17,14,208,210,137,3
154,14,236,240,130,3
16,16,204,205,134,3
17,18,203,200,130,3
345,13,193,218,164,3
176,9,225,245,153,3
32,9,218,221,138,3
334,10,197,227,169,3
4,15,199,210,147,3
9,14,203,211,144,3
9,10,209,221,149,3
102,14,243,221,104,3
200,6,218,245,163,3
32,9,218,220,137,3
357,4,213,232,157,3
102,14,243,221,104,3
131,16,244,230,109,3
348,7,207,229,160,3
11,1,217,236,156,3
45,1,219,236,155,3
146,12,236,238,131,3
27,3,218,232,151,3
164,16,233,243,136,3
132,17,245,228,105,3
122,23,252,214,77,3
174,28,224,241,131,3
168,13,230,245,144,3
158,24,237,236,114,3
203,26,197,252,177,3
86,8,232,227,129,3
123,18,247,224,99,3
167,24,231,241,127,3
222,18,195,254,191,3
219,17,198,254,188,3
216,14,205,253,181,3
197,13,216,251,167,3
74,14,236,213,106,3
85,14,240,215,102,3
166,26,231,238,121,3
179,27,220,244,139,3
104,14,242,222,107,3
88,13,239,218,107,3
89,25,248,192,58,3
141,15,241,235,119,3
73,17,237,206,94,3
163,20,234,241,129,3
135,17,244,230,109,3
56,14,228,208,110,3
151,24,242,232,105,3
113,20,250,215,84,3
32,4,219,230,147,3
200,17,211,253,171,3
216,20,196,254,188,3
161,27,235,235,112,3
78,15,238,211,99,3
192,26,208,249,160,3
147,10,234,239,136,3
117,7,232,234,135,3
90,18,245,208,85,3
147,23,244,230,102,3
165,23,233,240,125,3
57,8,226,223,132,3
221,19,194,254,191,3
126,17,246,226,103,3
144,10,235,238,133,3
180,12,224,247,154,3
209,17,205,254,179,3
128,15,244,229,110,3
132,6,230,237,140,3
158,11,232,242,139,3
170,10,227,245,149,3
197,12,217,250,166,3
146,11,235,239,134,3
94,20,247,205,78,3
215,21,195,254,188,3
191,15,218,251,162,3
182,6,222,244,157,3
198,9,218,248,165,3
167,9,227,244,149,3
165,7,226,242,150,3
256,30,139,242,233,3
31,20,210,193,112,3
351,20,179,201,156,3
197,18,213,252,168,3
134,20,247,226,98,3
9,24,185,184,129,3
164,18,233,243,133,3
233,23,175,253,208,3
141,25,247,224,90,3
182,20,222,249,151,3
198,17,212,252,169,3
190,13,220,249,161,3
11,20,195,196,134,3
202,22,204,253,175,3
227,12,203,251,183,3
191,9,220,247,161,3
355,13,199,218,156,3
215,19,197,254,187,3
190,9,220,248,161,3
259,6,206,244,176,3
225,7,211,247,172,3
121,16,246,225,103,3
148,9,232,240,139,3
184,17,222,249,155,3
208,10,213,250,172,3
59,1,220,235,152,3
207,1,218,239,158,3
77,9,232,224,125,3
154,7,229,241,145,3
86,8,232,227,129,3
100,11,238,226,118,3
124,19,248,223,96,3
125,13,242,230,114,3
189,8,221,246,160,3
205,7,216,246,166,3
203,11,215,250,169,3
223,10,207,250,178,3
146,5,228,239,145,3
232,8,207,248,178,3
74,18,239,202,88,3
103,21,249,209,78,3
207,14,209,252,175,3
117,21,250,216,83,3
137,17,244,231,109,3
121,21,250,218,85,3
105,7,232,232,133,3
86,19,244,204,81,3
99,14,242,221,106,3
180,21,223,248,148,3
113,16,246,222,100,3
3,8,209,225,153,3
141,9,234,238,135,3
137,9,235,237,133,3
65,16,233,207,101,3
79,14,237,215,106,3
179,10,224,246,154,3
114,14,244,225,107,3
108,12,240,226,114,3
279,9,196,241,184,3
159,9,230,242,143,3
169,12,229,245,145,3
117,1,220,237,153,3
233,5,212,244,169,3
162,15,233,243,136,3
94,7,231,230,132,3
102,10,237,227,120,3
45,11,223,217,127,3
149,12,236,239,131,3
151,12,235,240,133,3
119,11,239,231,121,3
116,8,235,232,129,3
95,15,243,216,98,3
104,12,241,224,111,3
